date,product_id,product_name,category,sales_quantity
2024-03-28,P001,Aashirvaad Atta 5kg,Groceries,9
2024-03-29,P001,Aashirvaad Atta 5kg,Groceries,12
2024-03-30,P001,Aashirvaad Atta 5kg,Groceries,12
2024-03-31,P001,Aashirvaad Atta 5kg,Groceries,14
2024-04-01,P001,Aashirvaad Atta 5kg,Groceries,10
2024-04-02,P001,Aashirvaad Atta 5kg,Groceries,14
2024-04-03,P001,Aashirvaad Atta 5kg,Groceries,9
2024-04-04,P001,Aashirvaad Atta 5kg,Groceries,9
2024-04-05,P001,Aashirvaad Atta 5kg,Groceries,11
2024-04-06,P001,Aashirvaad Atta 5kg,Groceries,8
2024-04-07,P001,Aashirvaad Atta 5kg,Groceries,11
2024-04-08,P001,Aashirvaad Atta 5kg,Groceries,11
2024-04-09,P001,Aashirvaad Atta 5kg,Groceries,14
2024-04-10,P001,Aashirvaad Atta 5kg,Groceries,13
2024-04-11,P001,Aashirvaad Atta 5kg,Groceries,9
2024-04-12,P001,Aashirvaad Atta 5kg,Groceries,10
2024-04-13,P001,Aashirvaad Atta 5kg,Groceries,11
2024-04-14,P001,Aashirvaad Atta 5kg,Groceries,9
2024-04-15,P001,Aashirvaad Atta 5kg,Groceries,39
2024-04-16,P001,Aashirvaad Atta 5kg,Groceries,14
2024-04-17,P001,Aashirvaad Atta 5kg,Groceries,16
2024-04-18,P001,Aashirvaad Atta 5kg,Groceries,10
2024-04-19,P001,Aashirvaad Atta 5kg,Groceries,9
2024-04-20,P001,Aashirvaad Atta 5kg,Groceries,15
2024-04-21,P001,Aashirvaad Atta 5kg,Groceries,6
2024-04-22,P001,Aashirvaad Atta 5kg,Groceries,14
2024-04-23,P001,Aashirvaad Atta 5kg,Groceries,16
2024-04-24,P001,Aashirvaad Atta 5kg,Groceries,11
2024-04-25,P001,Aashirvaad Atta 5kg,Groceries,13
2024-04-26,P001,Aashirvaad Atta 5kg,Groceries,38
2024-04-27,P001,Aashirvaad Atta 5kg,Groceries,10
2024-04-28,P001,Aashirvaad Atta 5kg,Groceries,8
2024-04-29,P001,Aashirvaad Atta 5kg,Groceries,13
2024-04-30,P001,Aashirvaad Atta 5kg,Groceries,12
2024-05-01,P001,Aashirvaad Atta 5kg,Groceries,11
2024-05-02,P001,Aashirvaad Atta 5kg,Groceries,10
2024-05-03,P001,Aashirvaad Atta 5kg,Groceries,10
2024-05-04,P001,Aashirvaad Atta 5kg,Groceries,11
2024-05-05,P001,Aashirvaad Atta 5kg,Groceries,10
2024-05-06,P001,Aashirvaad Atta 5kg,Groceries,14
2024-05-07,P001,Aashirvaad Atta 5kg,Groceries,15
2024-05-08,P001,Aashirvaad Atta 5kg,Groceries,14
2024-05-09,P001,Aashirvaad Atta 5kg,Groceries,9
2024-05-10,P001,Aashirvaad Atta 5kg,Groceries,13
2024-05-11,P001,Aashirvaad Atta 5kg,Groceries,12
2024-05-12,P001,Aashirvaad Atta 5kg,Groceries,16
2024-05-13,P001,Aashirvaad Atta 5kg,Groceries,12
2024-05-14,P001,Aashirvaad Atta 5kg,Groceries,18
